ra,dec,g_flux,r_flux,i_flux,g_flux_err,r_flux_err,i_flux_err,g_mag,r_mag,i_mag,g_mag_err,r_mag_err,i_mag_err,g_minus_r,r_minus_i,new_g,new_r,new_i
15.6401056,-71.0218992,148.92765,53.25121666666666,100.1529,160.1487,80.42126,125.5888,11.0022,12.1188,11.433,0.0195,0.0273,0.0227,-1.1166,0.6858000000000004,13.42756165844651,14.544176162888164,13.858341177190038
16.1219854,-71.0248273,223.712,329.8616666666667,98.21531666666668,161.7603,166.3953,122.6073,10.5604,10.1388,11.4542,0.0131,0.0091,0.0226,0.4215999999999997,-1.3154000000000003,12.985776798877716,12.564170377569152,13.879551946899667
15.4213577,-71.0046752,701.6943333333334,478.5633333333333,466.2465,179.8873,168.1445,138.403,9.3193,9.7348,9.7631,0.0046,0.0064,0.0054,-0.4154999999999997,-0.0282999999999997,11.744630076712738,12.160151448285909,12.188461038287318
15.3307866,-71.0052006,219.54416666666663,145.04795,134.9079,139.0139,121.5855,98.51172,10.5808,11.0308,11.1095,0.0115,0.0152,0.0132,-0.4499999999999993,-0.0787000000000013,13.006195244248378,13.45622101203401,13.534906544909376
16.045458,-70.999031,232.60516666666663,145.51743333333334,155.67846666666668,163.7525,152.2856,132.0713,10.5181,11.0273,10.9541,0.0127,0.0189,0.0154,-0.5091999999999999,0.0731999999999999,12.943451607188504,13.452712435132884,13.379428636443885
16.2437565,-71.0004133,217.81716666666668,192.9405,130.29263333333333,156.669,157.3581,124.6594,10.5894,10.7211,11.1473,0.013,0.0148,0.0173,-0.1317000000000003,-0.4261999999999997,13.014769738736994,13.14644150087022,13.572700345851404
15.9640462,-70.9965195,266.3515,219.18016666666665,156.91638333333333,175.508,165.3742,139.1648,10.371,10.5826,10.9454,0.0119,0.0137,0.0161,-0.2115999999999989,-0.3628,12.796362132687943,13.00799686790673,13.37082927551629
15.7865326,-70.9927837,423.648,351.72683333333333,243.39516666666665,174.0238,161.7971,132.7897,9.8671,10.0691,10.4688,0.0074,0.0083,0.0099,-0.2019999999999999,-0.3996999999999993,12.292487098783099,12.494486244945065,12.894220125565187
15.4909953,-70.9910964,217.15283333333332,389.9486666666666,74.93568333333333,162.1607,163.7836,111.7829,10.5927,9.9571,11.7479,0.0135,0.0076,0.027,0.6356000000000002,-1.790799999999999,13.018086249360131,12.382481400707668,14.173278320089427
15.5597588,-70.9851738,192.56333333333333,137.76541666666665,119.65135,155.5266,151.9819,128.8298,10.7232,11.0868,11.2398,0.0146,0.02,0.0195,-0.3635999999999999,-0.1530000000000004,13.148566012226427,13.512149474863307,13.665205992433233
16.0931942,-70.9877823,348.1543333333333,519.312,145.27025,168.5339,171.4995,126.6784,10.0802,9.6461,11.0292,0.0088,0.006,0.0158,0.434099999999999,-1.3830999999999989,12.505570487426352,12.0714291045774,13.454558290196465
15.737975,-70.9844714,473.0383333333333,204.45166666666668,393.758,164.7396,157.0643,133.0284,9.7474,10.6581,9.9465,0.0063,0.0139,0.0061,-0.9106999999999984,0.7115999999999989,12.172759160414582,13.083523361940337,12.371926523827694
15.9753388,-70.987032,178.8743333333333,152.8872,108.0792,157.3917,152.1844,126.2604,10.8033,10.9737,11.3503,0.0159,0.018,0.0211,-0.170399999999999,-0.3766000000000016,13.228629929624011,13.399072182513436,13.775644696532222
15.4893598,-70.9742611,1722.1566666666663,1061.2045,1164.2965,179.8873,162.0824,137.944,8.3444,8.8701,8.7695,0.0019,0.0028,0.0021,-0.5257000000000005,0.1006,10.769818356982446,11.295502292688685,11.194841020185237
16.1144216,-70.9722133,33468.21666666667,23658.2,21888.733333333334,207.5077,186.0563,160.1445,5.123,5.4997,5.5841,0.0001,0.0001,0.0001,-0.3766999999999996,-0.0844000000000004,7.548418570349945,7.925045752799921,8.009448424113558
16.1533481,-70.980373,405.8715,226.2873333333333,300.6235,168.0522,161.8922,136.7123,9.9136,10.548,10.2396,0.0075,0.0129,0.0082,-0.6343999999999994,0.3084000000000007,12.33902860863269,12.973349388615148,12.664942683113532
15.6175675,-70.9754946,116.789,125.82855,51.33128333333333,147.6114,149.5304,88.44685,11.2661,11.1852,12.1587,0.0229,0.0215,0.0312,0.0808999999999997,-0.9734999999999996,13.691495150427855,13.610552020026999,14.584044694519632
16.0355625,-70.9767449,302.46,100.35603333333331,292.64816666666667,162.4604,142.2473,131.5902,10.233,11.4308,10.2688,0.0097,0.0257,0.0081,-1.197799999999999,1.161999999999999,12.658330130445513,13.85614128229079,12.694135480591946
15.6345849,-70.9675229,215.67883333333333,77.73868333333333,186.74283333333327,162.3605,120.3123,135.157,10.6001,11.708,10.7565,0.0136,0.028,0.0131,-1.1079000000000008,0.9514999999999992,13.025481185894506,14.13340704831225,13.181890140495058
15.8327913,-70.9679247,394.9535,329.9403333333333,240.034,164.3455,156.7699,132.3112,9.9433,10.1385,10.4839,0.0075,0.0086,0.01,-0.1951999999999998,-0.3453999999999997,12.368635082972943,12.563911477934074,12.909318093986009
