ra,dec,g_flux,r_flux,i_flux,g_flux_err,r_flux_err,i_flux_err,g_mag,r_mag,i_mag,g_mag_err,r_mag_err,i_mag_err,g_minus_r,r_minus_i,new_g,new_r,new_i
264.9401861,-32.0890505,858.6659999999999,284.5996,490.6944,83.98434,52.17665,72.90189,11.798,12.997,12.4055,0.0212,0.0398,0.0323,-1.1989999999999998,0.5914999999999999,11.52543933304294,12.724414286612426,12.132972245831164
264.9318293,-32.0904495,3232.68,359.5658,3587.614,74.19128,69.88786,85.06475,10.3587,12.7431,10.2456,0.005,0.0422,0.0051,-2.3843999999999994,2.4975000000000005,10.086093209173589,12.470554056930045,9.972985724749881
265.2454038,-32.101372,38671.52,40948.14,12906.57,87.60228,91.41088,87.32806,7.6641,7.602,8.8555,0.0005,0.0005,0.0015,0.0621,-1.253499999999999,7.3915218936705145,7.3294145513695454,8.58297289704397
265.0707765,-32.0941999,619.7274,271.0906,245.572,73.39006,51.68104,52.31779,12.1521,13.0498,13.1571,0.0257,0.0414,0.0463,-0.8976999999999986,-0.1073000000000004,11.87949825492296,12.777213853032432,12.884552881884172
264.9268601,-32.0991034,51012.52,55478.280000000006,16289.401999999998,85.03374,89.29028,86.92093,7.3634,7.2723,8.6028,0.0004,0.0003,0.0012,0.0910999999999999,-1.3304999999999998,7.090808054872193,6.999692529689392,8.33023714694315
265.1048375,-32.102995,27463.18,26038.22,9266.468,82.31337,84.85661,92.29771,8.0357,8.0935,9.2153,0.0007,0.0007,0.0022,-0.0578000000000002,-1.1217999999999986,7.763122941556231,7.8209717697872865,8.942714424187946
265.0540339,-32.1000825,2117.62,1261.6182,990.6318,80.82751,65.75574,91.75166,10.818,11.3803,11.6428,0.0083,0.0113,0.0201,-0.5623000000000005,-0.2624999999999993,10.545379924912051,11.107680136344051,11.370219337404052
265.1766472,-32.1075265,1118.5754000000002,486.7092,612.6764000000001,86.85671,68.48251,89.60017,11.5109,12.4144,12.1645,0.0169,0.0306,0.0318,-0.9035000000000012,0.2499000000000002,11.238336840048778,12.141826111114725,11.891922120400611
265.1446458,-32.1088738,5137.114,3278.324,2334.712,84.01952,74.17547,96.37115,9.8558,10.3434,10.712,0.0036,0.0049,0.009,-0.4876000000000005,-0.3685999999999989,9.583201991362902,10.070870317229096,10.439416711218911
265.1718877,-32.1087289,2589.442,1450.6194,1307.6508,83.77287,68.81577,98.52479,10.5996,11.2287,11.3413,0.007,0.0103,0.0164,-0.6290999999999993,-0.1126000000000004,10.326984530365989,10.956116296889578,11.068770540412835
265.2097727,-32.1109563,799.0684,295.5324,367.6762,74.78658,61.1124,65.19637,11.8761,12.9561,12.7189,0.0203,0.0449,0.0385,-1.08,0.2371999999999996,11.603540109064443,12.683487248294739,12.446336203701504
265.2519355,-32.1125635,864.9376,311.94140000000004,374.8702,69.37296,61.62498,68.77077,11.7901,12.8974,12.6979,0.0174,0.0429,0.0398,-1.1072999999999986,0.1994999999999986,11.51753805779229,12.624817457637567,12.425297705227484
265.0194304,-32.114187,5915.316000000001,3977.838,2666.04,79.75983,74.828,94.70038,9.7026,10.1335,10.5679,0.0029,0.0041,0.0077,-0.4308999999999994,-0.4344000000000001,9.430055125311778,9.86088226943085,10.295333347312004
264.9926202,-32.1158381,7162.414,4497.692,3210.474,77.99841,75.62629,91.1375,9.4949,10.0001,10.3662,0.0024,0.0037,0.0062,-0.5052000000000003,-0.3660999999999994,9.222351449053416,9.727525720450348,10.093577107159755
265.0808086,-32.1180408,4075.71,1890.221,2212.944,82.13361,69.80597,100.1318,10.1071,10.9413,10.7701,0.0044,0.008,0.0098,-0.8341999999999992,0.1712000000000006,9.834491812572,10.668718540533208,10.497573940101317
265.1095132,-32.1239708,34808.04,36725.38,11048.718,82.0976,84.78918,89.50114,7.7784,7.7202,9.0243,0.0005,0.0005,0.0018,0.0582000000000002,-1.3041,7.505801076603241,7.447584254599926,8.751720277305939
265.1915777,-32.1236763,3530.704,1814.0496,1887.5716,87.23029,70.0105,105.5637,10.2629,10.986,10.9428,0.0054,0.0084,0.0121,-0.7231000000000005,0.0432000000000005,9.990346726026482,10.713377106431523,10.670241413955367
264.9674476,-32.1198535,2460.904,1232.2912,1328.027,81.88127,64.08184,99.62866,10.6548,11.4058,11.3246,0.0072,0.0113,0.0163,-0.7509999999999994,0.081199999999999,10.382263319545778,11.133216632195545,11.051982738188432
264.9593802,-32.1220974,3299.256,1846.8502,1617.7522,80.35065,69.76499,100.0432,10.3365,10.9665,11.1103,0.0053,0.0082,0.0134,-0.6300000000000008,-0.1438000000000006,10.063959962065807,10.693920823055802,10.837720002258111
265.1535081,-32.1290313,10656.812,8217.134,4434.704,82.0976,80.28506,100.1022,9.0635,9.3458,10.0154,0.0017,0.0021,0.0049,-0.2823000000000011,-0.6695999999999991,8.790931739183515,9.07319907689901,9.742838406016208
265.0168218,-32.1268795,1341.6364,567.947,777.4254,81.51945,65.45061,90.45383,11.3135,12.2468,11.9059,0.0132,0.025,0.0253,-0.9333000000000008,0.3408999999999995,11.040912918445498,11.974230475341699,11.633353185568687
265.1871232,-32.1295302,813.5352,232.071,247.4284,92.30177,48.36536,48.0781,11.8566,13.2185,13.149,0.0246,0.0453,0.0422,-1.3619000000000003,0.0695000000000014,11.584059128222119,12.945947815887997,12.876376133074757
264.8744351,-32.1257163,951.2344,1060.8242,445.5222,61.94416,111.2761,74.02847,11.6869,11.5685,12.5104,0.0141,0.0228,0.0361,0.1183999999999994,-0.9419000000000004,11.414281131202497,11.295891453761852,12.237826626389403
265.0873242,-32.1365489,12409.342,9644.486,4809.0160000000005,80.0927,78.95616,95.90997,8.8982,9.1719,9.9274,0.0014,0.0018,0.0043,-0.2737000000000016,-0.7554999999999996,8.62562811542023,8.899302282495034,9.65485944497396
265.1807586,-32.155591,773396.4,983770.8,235830.2,93.88947,101.2376,99.33153,4.4116,4.1503,5.7011,0.0,0.0,0.0001,0.2613000000000003,-1.5508000000000006,4.138994634522698,3.8777651804710764,5.428501451733245
265.139016,-32.1388242,4490.102,1355.683,3015.616,86.99274,69.88786,97.52972,10.0019,11.3022,10.4341,0.0042,0.0112,0.007,-1.3003,0.8680999999999983,9.729359482940467,11.029604624707394,10.161559902777004
265.1801592,-32.1394819,2731.428,1942.1222,1819.8598,73.47057,96.6124,116.7079,10.5416,10.9119,10.9825,0.0058,0.0108,0.0139,-0.3702999999999985,-0.0706000000000006,10.269025607326927,10.639308618464444,10.709905170740168
265.1295868,-32.1416935,921.4896,289.1796,521.2362,88.9086,59.50016,78.03287,11.7213,12.9797,12.34,0.021,0.0447,0.0325,-1.2584,0.6396999999999995,11.448773904742488,12.707080868346267,12.06741357509672
264.9455417,-32.1415335,3647.478,2098.11,1739.9304,80.0927,69.60084,95.78661,10.2276,10.828,11.0312,0.0048,0.0072,0.012,-0.6003999999999987,-0.2032000000000007,9.955018297254828,10.555429365736659,10.758670309610302
